subclassification_code,rule_id,category_code,category,subcategory,tertiary_applicable,tertiary_dimension,tertiary_code,tertiary_classification,tertiary_source_term,tertiary_is_residual,tertiary_aliases,allocation_key,annual_rate_pkr,rate_basis,official_text,criteria_json,source_page,notes
1(i),PFT-1.i,1,Companies,Paid-up capital up to Rs 5 million,false,,,,,,,1(i),10000,per annum,"Companies registered under the Companies Act, 2017 or under the relevant law for the time being in force, with paid up capital — up to rupees 5 million","[{""field"":""paid_up_capital_pkr"",""operator"":""<="",""value"":5000000}]",1,
1(ii),PFT-1.ii,1,Companies,Paid-up capital > Rs 5 million and <= Rs 50 million,false,,,,,,,1(ii),30000,per annum,"Companies registered under the Companies Act, 2017 or under the relevant law for the time being in force, with paid up capital — exceeding rupees 5 million but not exceeding rupees 50 million","[{""field"":""paid_up_capital_pkr"",""operator"":"">"",""value"":5000000},{""field"":""paid_up_capital_pkr"",""operator"":""<="",""value"":50000000}]",1,
1(iii),PFT-1.iii,1,Companies,Paid-up capital > Rs 50 million and <= Rs 100 million,false,,,,,,,1(iii),70000,per annum,"Companies registered under the Companies Act, 2017 or under the relevant law for the time being in force, with paid up capital — exceeding rupees 50 million but not exceeding rupees 100 million","[{""field"":""paid_up_capital_pkr"",""operator"":"">"",""value"":50000000},{""field"":""paid_up_capital_pkr"",""operator"":""<="",""value"":100000000}]",1,
1(iv),PFT-1.iv,1,Companies,Paid-up capital > Rs 100 million and <= Rs 200 million,false,,,,,,,1(iv),100000,per annum,"Companies registered under the Companies Act, 2017 or under the relevant law for the time being in force, with paid up capital — exceeding rupees 100 million but not exceeding rupees 200 million","[{""field"":""paid_up_capital_pkr"",""operator"":"">"",""value"":100000000},{""field"":""paid_up_capital_pkr"",""operator"":""<="",""value"":200000000}]",1,
1(v),PFT-1.v,1,Companies,Paid-up capital > Rs 200 million,false,,,,,,,1(v),100000,per annum,"Companies registered under the Companies Act, 2017 or under the relevant law for the time being in force, with paid up capital — exceeding rupees 200 million","[{""field"":""paid_up_capital_pkr"",""operator"":"">"",""value"":200000000}]",1,Same annual rate as 1(iv); paid-up capital is required to distinguish 1(iv) from 1(v).
2(i),PFT-2.i,2,Factories (persons other than companies),Employees not exceeding 10,false,,,,,,,2(i),1500,per annum,"Persons other than companies, owning factories as defined under the Factories Act, 1932 and having — employees not exceeding 10","[{""field"":""is_company"",""operator"":""="",""value"":false},{""field"":""employee_count"",""operator"":""<="",""value"":10}]",1,
2(ii),PFT-2.ii,2,Factories (persons other than companies),Employees > 10 and <= 25,false,,,,,,,2(ii),5000,per annum,"Persons other than companies, owning factories as defined under the Factories Act, 1932 and having — employees exceeding 10 but not exceeding 25","[{""field"":""is_company"",""operator"":""="",""value"":false},{""field"":""employee_count"",""operator"":"">"",""value"":10},{""field"":""employee_count"",""operator"":""<="",""value"":25}]",1,
2(iii),PFT-2.iii,2,Factories (persons other than companies),Employees > 25,false,,,,,,,2(iii),7500,per annum,"Persons other than companies, owning factories as defined under the Factories Act, 1932 and having — employees exceeding 25","[{""field"":""is_company"",""operator"":""="",""value"":false},{""field"":""employee_count"",""operator"":"">"",""value"":25}]",1,
3(i)(a),PFT-3.i.a,3,Commercial establishments (persons other than companies),10+ employees | Within Metropolitan and Municipal Corporation limits,false,,,,,,,3(i)(a),6000,per annum,Persons other than companies owning commercial establishments having 10 or more employees — within Metropolitan and Municipal Corporation limits,"[{""field"":""is_company"",""operator"":""="",""value"":false},{""field"":""employee_count"",""operator"":"">="",""value"":10},{""field"":""location_scope"",""operator"":""="",""value"":""METROPOLITAN_OR_MUNICIPAL_CORPORATION""}]",1,
3(i)(b),PFT-3.i.b,3,Commercial establishments (persons other than companies),10+ employees | Others,false,,,,,,,3(i)(b),4000,per annum,Persons other than companies owning commercial establishments having 10 or more employees — others,"[{""field"":""is_company"",""operator"":""="",""value"":false},{""field"":""employee_count"",""operator"":"">="",""value"":10},{""field"":""location_scope"",""operator"":""="",""value"":""OTHER""}]",1,
3(ii),PFT-3.ii,3,Commercial establishments (persons other than companies),All other commercial establishments other than wholesalers and retailers,false,,,,,,,3(ii),2000,per annum,All other commercial establishments other than wholesalers and retailers,"[{""field"":""is_company"",""operator"":""="",""value"":false},{""field"":""establishment_type"",""operator"":""NOT_IN"",""value"":[""wholesaler"",""retailer""]}]",2,
4(i),PFT-4.i,4,Importers / Exporters,"Preceding-FY import/export value > Rs 100,000 and <= Rs 1 million",true,trade_direction,PFT-T04-IMPORTER,Importer,import of goods,false,importer | importers,4(i)|PFT-T04-IMPORTER,2000,per annum,"Persons engaged in the import or export of goods who, during the preceding financial year, imported or exported goods of the value — exceeding rupees 1 lac but not exceeding rupees 1 million","[{""field"":""preceding_fy_import_export_value_pkr"",""operator"":"">"",""value"":100000},{""field"":""preceding_fy_import_export_value_pkr"",""operator"":""<="",""value"":1000000}]",2,
4(i),PFT-4.i,4,Importers / Exporters,"Preceding-FY import/export value > Rs 100,000 and <= Rs 1 million",true,trade_direction,PFT-T04-EXPORTER,Exporter,export of goods,false,exporter | exporters,4(i)|PFT-T04-EXPORTER,2000,per annum,"Persons engaged in the import or export of goods who, during the preceding financial year, imported or exported goods of the value — exceeding rupees 1 lac but not exceeding rupees 1 million","[{""field"":""preceding_fy_import_export_value_pkr"",""operator"":"">"",""value"":100000},{""field"":""preceding_fy_import_export_value_pkr"",""operator"":""<="",""value"":1000000}]",2,
4(ii),PFT-4.ii,4,Importers / Exporters,Preceding-FY import/export value > Rs 1 million and <= Rs 5 million,true,trade_direction,PFT-T04-IMPORTER,Importer,import of goods,false,importer | importers,4(ii)|PFT-T04-IMPORTER,3000,per annum,"Persons engaged in the import or export of goods who, during the preceding financial year, imported or exported goods of the value — exceeding rupees 1 million but not exceeding rupees 5 million","[{""field"":""preceding_fy_import_export_value_pkr"",""operator"":"">"",""value"":1000000},{""field"":""preceding_fy_import_export_value_pkr"",""operator"":""<="",""value"":5000000}]",2,
4(ii),PFT-4.ii,4,Importers / Exporters,Preceding-FY import/export value > Rs 1 million and <= Rs 5 million,true,trade_direction,PFT-T04-EXPORTER,Exporter,export of goods,false,exporter | exporters,4(ii)|PFT-T04-EXPORTER,3000,per annum,"Persons engaged in the import or export of goods who, during the preceding financial year, imported or exported goods of the value — exceeding rupees 1 million but not exceeding rupees 5 million","[{""field"":""preceding_fy_import_export_value_pkr"",""operator"":"">"",""value"":1000000},{""field"":""preceding_fy_import_export_value_pkr"",""operator"":""<="",""value"":5000000}]",2,
4(iii),PFT-4.iii,4,Importers / Exporters,Preceding-FY import/export value > Rs 5 million,true,trade_direction,PFT-T04-IMPORTER,Importer,import of goods,false,importer | importers,4(iii)|PFT-T04-IMPORTER,5000,per annum,"Persons engaged in the import or export of goods who, during the preceding financial year, imported or exported goods of the value — exceeding rupees 5 million","[{""field"":""preceding_fy_import_export_value_pkr"",""operator"":"">"",""value"":5000000}]",2,
4(iii),PFT-4.iii,4,Importers / Exporters,Preceding-FY import/export value > Rs 5 million,true,trade_direction,PFT-T04-EXPORTER,Exporter,export of goods,false,exporter | exporters,4(iii)|PFT-T04-EXPORTER,5000,per annum,"Persons engaged in the import or export of goods who, during the preceding financial year, imported or exported goods of the value — exceeding rupees 5 million","[{""field"":""preceding_fy_import_export_value_pkr"",""operator"":"">"",""value"":5000000}]",2,
5(i),PFT-5.i,5,Contractors / Builders / Property Developers (specified supplies),Preceding-FY supply value not exceeding Rs 1 million,true,business_type,PFT-T05-CONTRACTOR,Contractor,Contractors,false,contractor | contractors,5(i)|PFT-T05-CONTRACTOR,1000,per annum,"Contractors, builders and property developers, who during the preceding financial year supplied to the Federal or the Provincial Government or a company or a factory or a commercial establishment or an autonomous or a semi autonomous organization or any Local Authority; goods, commodities and services of the value — not exceeding rupees 1 million","[{""field"":""preceding_fy_supply_recipient"",""operator"":""IN"",""value"":[""Federal Government"",""Provincial Government"",""company"",""factory"",""commercial establishment"",""autonomous organization"",""semi autonomous organization"",""Local Authority""]},{""field"":""preceding_fy_supply_value_pkr"",""operator"":""<="",""value"":1000000}]",2,
5(i),PFT-5.i,5,Contractors / Builders / Property Developers (specified supplies),Preceding-FY supply value not exceeding Rs 1 million,true,business_type,PFT-T05-BUILDER,Builder,builders,false,builder | builders,5(i)|PFT-T05-BUILDER,1000,per annum,"Contractors, builders and property developers, who during the preceding financial year supplied to the Federal or the Provincial Government or a company or a factory or a commercial establishment or an autonomous or a semi autonomous organization or any Local Authority; goods, commodities and services of the value — not exceeding rupees 1 million","[{""field"":""preceding_fy_supply_recipient"",""operator"":""IN"",""value"":[""Federal Government"",""Provincial Government"",""company"",""factory"",""commercial establishment"",""autonomous organization"",""semi autonomous organization"",""Local Authority""]},{""field"":""preceding_fy_supply_value_pkr"",""operator"":""<="",""value"":1000000}]",2,
5(i),PFT-5.i,5,Contractors / Builders / Property Developers (specified supplies),Preceding-FY supply value not exceeding Rs 1 million,true,business_type,PFT-T05-PROPERTY-DEVELOPER,Property Developer,property developers,false,property developer | property developers,5(i)|PFT-T05-PROPERTY-DEVELOPER,1000,per annum,"Contractors, builders and property developers, who during the preceding financial year supplied to the Federal or the Provincial Government or a company or a factory or a commercial establishment or an autonomous or a semi autonomous organization or any Local Authority; goods, commodities and services of the value — not exceeding rupees 1 million","[{""field"":""preceding_fy_supply_recipient"",""operator"":""IN"",""value"":[""Federal Government"",""Provincial Government"",""company"",""factory"",""commercial establishment"",""autonomous organization"",""semi autonomous organization"",""Local Authority""]},{""field"":""preceding_fy_supply_value_pkr"",""operator"":""<="",""value"":1000000}]",2,
5(ii),PFT-5.ii,5,Contractors / Builders / Property Developers (specified supplies),Preceding-FY supply value > Rs 1 million and <= Rs 10 million,true,business_type,PFT-T05-CONTRACTOR,Contractor,Contractors,false,contractor | contractors,5(ii)|PFT-T05-CONTRACTOR,6000,per annum,"Contractors, builders and property developers, who during the preceding financial year supplied to the Federal or the Provincial Government or a company or a factory or a commercial establishment or an autonomous or a semi autonomous organization or any Local Authority; goods, commodities and services of the value — exceeding rupees 1 million but not exceeding rupees 10 million","[{""field"":""preceding_fy_supply_recipient"",""operator"":""IN"",""value"":[""Federal Government"",""Provincial Government"",""company"",""factory"",""commercial establishment"",""autonomous organization"",""semi autonomous organization"",""Local Authority""]},{""field"":""preceding_fy_supply_value_pkr"",""operator"":"">"",""value"":1000000},{""field"":""preceding_fy_supply_value_pkr"",""operator"":""<="",""value"":10000000}]",2,
