tertiary_code,parent_category_code,dimension,tertiary_classification,source_term,aliases,is_residual,basis,notes
PFT-T04-IMPORTER,4,trade_direction,Importer,import of goods,importer | importers,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T04-EXPORTER,4,trade_direction,Exporter,export of goods,exporter | exporters,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T05-CONTRACTOR,5,business_type,Contractor,Contractors,contractor | contractors,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T05-BUILDER,5,business_type,Builder,builders,builder | builders,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T05-PROPERTY-DEVELOPER,5,business_type,Property Developer,property developers,property developer | property developers,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T06I-MEDICAL-CONSULTANT,6,profession_type,Medical Consultant,Medical Consultants,medical consultant | medical consultants,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T06I-MEDICAL-SPECIALIST,6,profession_type,Medical Specialist,Specialists,medical specialist | medical specialists | specialist | specialists,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T06I-DENTAL-SURGEON,6,profession_type,Dental Surgeon,Dental Surgeons,dental surgeon | dental surgeons,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T06III-OTHER,6,profession_type,Other profession/service under 6(iii),Others,,true,source-enumerated type; aliases are spelling/number normalization only,Residual type because the official entry says “Others including ...”.
PFT-T06III-HOMOEOPATH,6,profession_type,Homoeopath,Homoeopaths,homoeopath | homoeopaths | homeopath | homeopaths,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T06III-HAKEEM,6,profession_type,Hakeem,Hakeems,hakeem | hakeems | hakim | hakims,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T06III-AYURVEDIC,6,profession_type,Ayurvedic Practitioner,Ayuervedics,ayurvedic | ayurvedics,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T06V-MANAGEMENT-CONSULTANT,6,profession_type,Management Consultant,Management Consultants,management consultant | management consultants,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T06V-TAX-CONSULTANT,6,profession_type,Tax Consultant,Tax Consultants,tax consultant | tax consultants,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T06V-ARCHITECT,6,profession_type,Architect,Architects,architect | architects,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T06V-ENGINEERING-CONSULTANT,6,profession_type,Engineering Consultant,Engineering Consultants,engineering consultant | engineering consultants,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T06V-TECHNICAL-CONSULTANT,6,profession_type,Technical Consultant,Technical Consultants,technical consultant | technical consultants,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T06V-SCIENTIFIC-CONSULTANT,6,profession_type,Scientific Consultant,Scientific Consultants,scientific consultant | scientific consultants,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T06VIIC-MOTORCYCLE-DEALER,6,dealer_type,Motorcycle Dealer,Motorcycle dealers,motorcycle dealer | motorcycle dealers | motor cycle dealer | motor cycle dealers,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T06VIIC-SCOOTER-DEALER,6,dealer_type,Scooter Dealer,Scooter dealers,scooter dealer | scooter dealers,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T06VIID-MOTOR-VEHICLE-DEALER,6,dealer_or_agent_type,Motor Vehicle Dealer,Motor Vehicle Dealers,motor vehicle dealer | motor vehicle dealers,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T06VIID-REAL-ESTATE-AGENT,6,dealer_or_agent_type,Real Estate Agent,Real Estate Agents,real estate agent | real estate agents,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T06VIII-GOODS-CARRIAGE,6,transport_type,Goods Carriage by Road,Carriage of goods by road,carriage of goods by road | goods carriage by road,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T06VIII-PASSENGER-CARRIAGE,6,transport_type,Passenger Carriage by Road,Carriage of passengers by road,carriage of passengers by road | passenger carriage by road,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T06IX-HEALTH-CLUB,6,establishment_type,Health Club,Health Clubs,health club | health clubs,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T06IX-GYMNASIUM,6,establishment_type,Gymnasium,Gymnasiums,gymnasium | gymnasiums,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T06X-JEWELER,6,establishment_type,Jeweler,Jewelers,jeweler | jewelers | jeweller | jewellers,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T06X-DEPARTMENTAL-STORE,6,establishment_type,Departmental Store,departmental stores,departmental store | departmental stores,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T06X-ELECTRONIC-GOODS-STORE,6,establishment_type,Electronic Goods Store,electronic goods stores,electronic goods store | electronic goods stores,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T06X-CABLE-OPERATOR,6,establishment_type,Cable Operator,cable operators,cable operator | cable operators,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T06X-PRINTING-PRESS,6,establishment_type,Printing Press,printing presses,printing press | printing presses,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T06X-PESTICIDE-DEALER,6,establishment_type,Pesticide Dealer,pesticide dealers,pesticide dealer | pesticide dealers,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T07-FRANCHISEE,7,business_role,Franchisee,Franchisee,franchisee | franchisees,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T07-AUTHORIZED-DEALER,7,business_role,Authorized Dealer,Authorized dealers,authorized dealer | authorized dealers | authorised dealer | authorised dealers,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T07-AUTHORIZED-AGENT,7,business_role,Authorized Agent,Agents,authorized agent | authorized agents | authorised agent | authorised agents,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T07-DISTRIBUTOR,7,business_role,Distributor,distributors,distributor | distributors,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T08-PROPERTY-DEVELOPER,8,property_business_role,Property Developer,Property Developers,property developer | property developers,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T08-BUILDER,8,property_business_role,Builder,Builders,builder | builders,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T08-MARKETING-AGENT,8,property_business_role,Marketing Agent,Marketing Agent,marketing agent | marketing agents,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T08-MARKETING-COMPANY,8,property_business_role,Marketing Company,Marketing Company,marketing company | marketing companies,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T09-HOTEL,9,lodging_type,Hotel,Hotels,hotel | hotels,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T09-HOSTEL,9,lodging_type,Hostel,Hostels,hostel | hostels,false,source-enumerated type; aliases are spelling/number normalization only,The statutory entry excludes hostels owned and operated by an educational institution itself.
PFT-T09-GUEST-HOUSE,9,lodging_type,Guest House,Guest Houses,guest house | guest houses | guesthouse | guesthouses,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T09-MOTEL,9,lodging_type,Motel,Motels,motel | motels,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T09-RESORT,9,lodging_type,Resort,Resorts,resort | resorts,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T10-RESTAURANT,10,food_establishment_type,Restaurant,Restaurants,restaurant | restaurants,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T10-EATERY,10,food_establishment_type,Eatery,Eateries,eatery | eateries,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T10-FAST-FOOD,10,food_establishment_type,Fast Food Point,Fast Food Points,fast food point | fast food points,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T10-ICE-CREAM-PARLOR,10,food_establishment_type,Ice Cream Parlor,Ice Cream Parlors,ice cream parlor | ice cream parlors | ice cream parlour | ice cream parlours,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T10-BAKERY,10,food_establishment_type,Bakery,Bakeries,bakery | bakeries,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T10-CONFECTIONER,10,food_establishment_type,Confectioner,Confectioners,confectioner | confectioners | confectionery,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T10-SWEETS-SHOP,10,food_establishment_type,Sweets Shop,Sweets Shops,sweets shop | sweets shops | sweet shop | sweet shops,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T11-PROFESSION,11,engagement_basis,Profession,profession,profession,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T11-TRADE,11,engagement_basis,Trade,trade,trade,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T11-CALLING,11,engagement_basis,Calling,calling,calling,false,source-enumerated type; aliases are spelling/number normalization only,
PFT-T11-EMPLOYMENT,11,engagement_basis,Employment,employment,employment,false,source-enumerated type; aliases are spelling/number normalization only,
